Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
50619.50637408256,-3642.248252491827,54261.75462657439,4733.150441147773,111921.4869758824
50941.45144553141,-3635.000850043487,54576.45229557491,4779.259985859106,113925.8427356442
51256.188860258815,-3626.429172850235,54882.618033109065,4832.589787500468,115832.7922019763
51566.60829495417,-3616.8548419790704,55183.463136933264,4890.993261954819,117668.44642370529
51868.22364533424,-3605.833639829752,55474.05728516402,4957.005195997823,119410.99767122381
52158.85334122753,-3594.736624671616,55753.58996589916,5022.453305185612,121058.1957012421
52444.81075370595,-3584.378676575009,56029.189430280974,5081.915408772226,122641.567500297
52723.69772571442,-3574.6165185718955,56298.314244286325,5135.383543210528,124111.2243589697
52994.32174355589,-3566.290792469278,56560.61253602518,5176.9566623279325,125417.5247794186
53256.87107315644,-3559.415574102157,56816.286647258625,5207.175741856834,126530.4912904833
53505.989569370344,-3554.272969665965,57060.262539036325,5226.8949557057485,127459.85434946221
53740.784153291286,-3551.1047520690504,57291.88890536037,5238.275132108199,128293.2560678428
53969.62839560084,-3549.483880348943,57519.11227594982,5244.467073413289,129174.361350438
54192.204791983495,-3548.231844459348,57740.43663644287,5250.181186425109,130182.9849513997
54406.557907694034,-3547.829448062186,57954.38735575625,5251.982769713947,131348.0895503805
54612.03881538659,-3548.56355109896,58160.602366485575,5247.224422743446,132649.6384777845
54807.23571697212,-3550.364313109587,58357.600030081725,5234.463915762257,134023.0924183795
54987.943757859866,-3552.659431740036,58540.60318959992,5217.77345152012,135354.5340318584
55151.20897254528,-3553.970705465488,58705.1796780108,5208.233561325208,136543.1737319189
55297.15907952149,-3554.466514405458,58851.62559392696,5204.74793397147,137570.3593098301
55435.101411343036,-3555.007580054176,58990.108991397225,5200.950133343887,138539.0600641814
55567.70290820265,-3554.84921715258,59122.552125355236,5202.361638355258,139512.52991559642
55688.98220980957,-3552.406987322924,59241.38919713251,5222.371562674797,140460.3286308604
55812.1321144442,-3548.329353771033,59360.46146821525,5257.317230267875,141480.8842970468
55928.86408850835,-3543.342786955453,59472.20687546383,5301.0909060022705,142461.9195888147
56021.706505109134,-3537.061710027439,59558.768215136595,5354.5821847122415,143203.7241746413
56099.03746269376,-3529.1926506848968,59628.230113378675,5416.5486679967735,143756.2234758675
56173.42460797441,-3519.495954467112,59692.920562441555,5485.68044849842,144219.17610081082
56245.31093677446,-3507.464036818648,59752.77497359313,5563.861277671379,144611.4409339742
56308.55743109041,-3493.8519610562294,59802.40939214666,5648.3635808564695,144919.8908614408
